X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1028;338;0.40157;0.2350755;0.3774189;0.2624916;737.7;0.2544157;False;24.05.2024 14:06:23:940;1716552383940;;
1027;345;0.4015423;0.2398998;0.3765705;0.3241813;740.1;0.2548469;False;24.05.2024 14:06:23:956;1716552383956;;
1027;342;0.4015068;0.2381628;0.3767264;0.2048182;743.2;0.2505843;False;24.05.2024 14:06:23:974;1716552383974;;
1027;343;0.4013245;0.2386264;0.3947895;0.2714113;746.0;0.2508748;False;24.05.2024 14:06:23:989;1716552383989;;
1036;345;0.4049819;0.2396853;0.4395208;0.2819795;748.6;0.2436693;False;24.05.2024 14:06:24:9;1716552384009;;
1040;339;0.4065784;0.236044;0.4305046;0.1795528;751.0;0.2439417;False;24.05.2024 14:06:24:24;1716552384024;;
1061;343;0.4146182;0.2386129;0.4715859;0.2974108;754.1;0.242584;False;24.05.2024 14:06:24:44;1716552384044;;
1077;346;0.4210108;0.2408221;0.4716331;0.2973884;756.9;0.2428448;False;24.05.2024 14:06:24:62;1716552384062;;
1103;362;0.4310385;0.251942;0.4972624;0.3661802;757.4;0.2486877;False;24.05.2024 14:06:24:80;1716552384080;;
1103;349;0.4311463;0.2427764;0.4344074;0.156933;755.9;0.2411114;False;24.05.2024 14:06:24:98;1716552384098;;
1081;348;0.4222658;0.2422687;0.3470163;0.2264054;754.6;0.2412523;False;24.05.2024 14:06:24:117;1716552384117;;
1057;348;0.4130738;0.2422711;0.3385607;0.2562538;753.1;0.2399762;False;24.05.2024 14:06:24:135;1716552384135;;
1042;348;0.4072474;0.2422735;0.3386195;0.2561916;751.8;0.2404026;False;24.05.2024 14:06:24:151;1716552384151;;
1037;348;0.4054149;0.2418035;0.3683658;0.2261764;749.1;0.2401197;False;24.05.2024 14:06:24:170;1716552384170;;
1034;346;0.4041366;0.2406887;0.3678105;0.208526;746.7;0.2401739;False;24.05.2024 14:06:24:185;1716552384185;;
1007;341;0.3937285;0.2371677;0.3119028;0.1805074;745.1;0.2429268;False;24.05.2024 14:06:24:203;1716552384203;;
1006;337;0.3932255;0.2343059;0.3684366;0.1774195;743.8;0.2428985;False;24.05.2024 14:06:24:218;1716552384218;;
1005;333;0.3927597;0.2317256;0.3684443;0.1774224;742.5;0.2429024;False;24.05.2024 14:06:24:234;1716552384234;;
989;333;0.3866764;0.2312694;0.3286311;0.211371;742.7;0.2453397;False;24.05.2024 14:06:24:256;1716552384256;;
992;334;0.3878828;0.2324811;0.4059878;0.2628334;744.2;0.2526716;False;24.05.2024 14:06:24:280;1716552384280;;
994;335;0.3886649;0.2332827;0.4059572;0.2628299;745.5;0.2526623;False;24.05.2024 14:06:24:298;1716552384298;;
998;338;0.3900923;0.2347559;0.4133168;0.2725981;747.6;0.2533725;False;24.05.2024 14:06:24:319;1716552384319;;
991;356;0.387368;0.2476054;0.3482917;0.3537829;750.5;0.2543383;False;24.05.2024 14:06:24:341;1716552384341;;
986;370;0.3852318;0.25723;0.3481786;0.3537677;753.0;0.2542984;False;24.05.2024 14:06:24:360;1716552384360;;
960;372;0.3752249;0.258743;0.3055854;0.2985367;757.2;0.2479093;False;24.05.2024 14:06:24:383;1716552384383;;
928;501;0.362803;0.3479629;0.3015689;0.5401006;757.7;0.240416;False;24.05.2024 14:06:24:421;1716552384421;;
820;551;0.3205755;0.383248;0.1806304;0.5450915;759.2;0.2494168;False;24.05.2024 14:06:24:439;1716552384439;;
820;570;0.3206657;0.3959719;0.3297242;0.4996816;760.5;0.2486458;False;24.05.2024 14:06:24:455;1716552384455;;
825;558;0.3222835;0.3878348;0.361458;0.2775762;759.8;0.2393481;False;24.05.2024 14:06:24:472;1716552384472;;
827;550;0.3234238;0.3821625;0.3612728;0.2776106;759.2;0.2392165;False;24.05.2024 14:06:24:487;1716552384487;;
828;561;0.3235432;0.3899047;0.3335556;0.4601421;761.5;0.2456322;False;24.05.2024 14:06:24:506;1716552384506;;
827;577;0.3230815;0.4007358;0.3109307;0.5015808;763.6;0.2455656;False;24.05.2024 14:06:24:519;1716552384519;;
822;577;0.3214476;0.401025;0.2965551;0.4088635;767.5;0.2431736;False;24.05.2024 14:06:24:537;1716552384537;;
